,For_0,For_1
620,3.7541304,7.755651
621,3.7144892,9.428496
622,3.4663982,8.610674
623,16.403046,2.734963
624,7.973938,14.029572
625,14.135943,3.3783479
626,10.982365,3.7679682
627,3.9393039,4.990003
628,12.47816,5.825279
629,2.2974143,10.633331
630,6.783404,10.39214
631,7.772156,4.7825994
632,1.468243,10.394699
633,3.537443,8.202359
634,13.4395,4.362993
635,7.2982206,11.572269
636,3.5913897,9.698485
637,10.063496,8.516515
638,6.852682,14.157387
639,3.711253,9.898484
640,10.784407,5.645395
641,5.079989,14.39271
642,12.802723,8.510146
643,2.7583084,7.6541023
644,13.56477,5.373571
645,12.926315,6.052812
646,3.859173,8.821297
647,17.104164,1.409803
648,4.4016,9.904924
649,16.487415,2.6204681
650,3.8245645,9.762621
651,9.260865,10.256687
652,9.985567,4.171722
653,13.324387,5.0177054
654,5.218503,11.473904
655,10.375052,6.00288
656,10.7895565,10.524441
657,3.3712635,6.3814435
658,11.035206,5.189683
659,16.116547,2.3852644
660,8.415316,9.362106
661,16.906305,2.1434906
662,0.56419075,12.995991
663,17.568401,2.3289273
664,4.0572166,5.96814
665,3.7637675,7.269736
666,12.921505,7.163657
667,14.458044,3.29776
668,3.5535884,13.184832
669,7.065594,13.619519
670,15.031864,2.5064201
671,11.490035,7.642663
672,7.050175,10.42753
673,8.438104,10.5042515
674,4.2079544,8.059516
675,3.2662902,8.178076
676,11.422476,5.3806973
677,2.7441595,6.439679
678,4.8200817,12.651409
679,11.055006,8.601364
680,14.597101,2.2890213
681,9.88328,10.021912
682,16.517681,2.964695
683,7.2859063,10.173493
684,11.011881,3.6583424
685,2.2724788,7.0527477
686,2.9344716,6.7287107
687,2.673399,7.698058
688,3.1259966,6.1746483
689,11.596445,5.4134116
690,7.085162,6.9375105
691,5.1532454,11.34057
692,9.566722,9.134608
693,4.0895524,6.9736934
694,2.240978,7.246737
695,3.263671,7.913048
696,13.7983265,2.417855
697,2.755834,11.011306
698,13.014108,5.5470266
699,3.3851435,5.367975
700,10.751326,11.022812
701,3.0112343,10.283916
702,4.45914,12.810538
703,10.308057,8.328001
704,14.4400425,2.4485257
705,16.87808,3.1609077
706,15.9735985,2.0608115
707,16.910927,2.9201038
708,14.844564,2.893181
709,1.7923756,9.915388
710,11.55106,3.89053
711,2.90963,10.155529
712,12.088945,6.583673
713,3.3712196,7.2331834
714,3.4049966,9.603972
715,4.435176,4.391279
716,4.8964276,11.662519
717,16.420055,2.3277736
718,4.319644,7.634575
719,16.595108,2.4059978
720,1.5678701,12.648938
721,2.898502,6.2750635
722,3.464366,7.851053
723,15.607361,3.1546216
724,11.456408,5.112712
725,10.457373,7.664777
726,3.3100576,6.4990807
727,13.94779,2.8300211
728,5.15843,12.75898
729,16.741186,2.5273125
730,8.509534,9.875044
731,2.0289,13.169564
732,3.704351,7.046611
733,3.178871,6.695291
734,3.5782838,13.553255
735,5.2380104,13.024733
736,3.3297462,8.172224
737,2.8177147,5.908038
738,2.017457,14.190822
739,10.109235,9.642991
740,15.601683,2.0571156
741,3.5734947,9.448984
742,13.873304,3.4561381
743,15.671751,2.9976947
744,1.962716,7.7586927
745,2.9365926,9.034908
746,4.1439714,14.178113
747,11.846497,5.175535
748,7.4305253,13.49376
749,4.0280437,5.369386
750,3.6459458,5.2060094
751,2.976685,9.297231
752,3.3820848,7.576522
753,9.734043,6.572271
754,16.263134,2.829333
755,11.561505,6.8114777
756,2.91785,5.381509
757,13.735356,5.4308815
758,7.304519,9.859168
759,14.123371,5.7869606
760,3.705563,14.616909
761,12.5018215,6.9594626
762,14.61972,3.643056
763,10.007992,9.610319
764,9.04393,12.896694
765,3.1563182,7.2219143
766,6.690777,15.046761
767,5.079111,13.287659
768,11.262599,6.843219
769,13.471952,6.210414
770,11.533369,6.3131433
771,14.637274,3.6348138
772,7.014203,12.710021
773,3.324255,4.6776795
774,15.832409,2.6548502
775,4.264585,7.5411363
776,12.2053385,7.849622
777,8.644689,9.862957
778,6.731536,11.097435
779,3.8436346,7.6425743
780,8.093431,10.84632
781,2.8364964,14.998171
782,0.93983215,15.268412
783,13.790746,2.8577633
784,3.7474928,8.72975
785,3.0083132,6.298072
786,3.1892376,6.2477846
787,2.6661372,6.6515903
788,4.881872,13.506378
789,3.345917,9.149804
790,4.573073,11.857864
791,3.6671636,15.1472225
792,3.77019,3.864991
793,7.910738,11.981976
794,2.8730996,13.2493
795,5.604129,12.808022
796,6.0006866,9.886614
797,3.1915462,6.9760265
798,14.462046,1.7463341
799,3.994637,13.272776
800,2.2123404,13.967701
801,16.29914,1.8561958
802,3.0478039,6.235903
803,3.8067267,7.029359
804,11.040688,7.1126194
805,16.887285,1.4530028
806,6.9538355,14.383271
807,13.66454,6.7611265
808,15.866455,2.24006
809,14.6829405,3.7814746
810,17.2597,5.1236463
811,16.55963,2.5184999
812,9.33458,9.151283
813,9.052946,12.5417795
814,12.816013,4.3105774
815,2.9717515,7.5417986
816,2.7201412,10.188936
817,3.018798,7.0660315
818,3.8495927,4.026435
819,12.963612,2.6398401
820,16.719955,2.668947
821,3.539083,6.595449
822,12.828856,4.7602916
823,3.3389676,7.0268335
824,7.2362285,10.139978
825,3.2894025,2.9591804
826,14.620741,3.1223278
827,16.154394,2.2818823
828,12.342234,7.8423004
829,9.750533,8.072691
830,16.267935,1.7312397
831,15.3786125,2.3280787
832,3.6449184,13.007718
833,4.1185484,7.91805
834,13.934465,6.055434
835,10.784107,7.6998897
836,2.3918328,11.792994
837,10.469174,4.6791787
838,3.1007543,9.649409
839,6.795405,11.151076
840,15.50632,3.1898189
841,3.1349268,6.550253
842,3.8383121,4.527543
843,15.325771,5.9317813
844,3.2353284,7.128287
845,16.697086,3.3013482
846,2.9578543,5.836096
847,8.658432,11.587767
848,8.466739,10.424692
849,12.370462,6.78776
850,15.219343,3.7860923
851,3.3690076,6.524294
852,5.926635,14.48156
853,8.957412,11.685471
854,3.4706588,6.337867
855,3.523932,6.8199615
856,17.209795,2.1847076
857,15.767643,1.764878
858,3.9903398,13.634644
859,3.3490524,7.1152472
860,4.783467,9.369281
861,3.7159696,6.450141
862,3.3699362,6.968244
863,3.1765392,7.4927554
864,8.506378,10.9338
865,3.89855,7.3658648
866,3.5634813,6.1480155
867,3.0162644,10.609159
